--Probe dump file for probe: org.yardstickframework.probes.ThroughputLatencyProbe@5942ee04 (class org.yardstickframework.probes.ThroughputLatencyProbe)
--Created Tue Jun 12 16:32:18 MSK 2018
--Benchmark config: BenchmarkConfiguration [memberId='0', driverNames='[MultiplicationBenchmark]', serverName='IgniteNode', threads=64, duration=60, warmup=40, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe], propsFileName='config/benchmark-atomic.properties', packages=[com.sbt.javaschool, org.yardstickframework, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, /home/fl/SBT/IgniteMicroSvcCalc/bin/../output/results-20180612-163003, -id, 0, -cfg, /home/fl/SBT/IgniteMicroSvcCalc/bin/../config/multiplication-service-config.xml, -nn, 3, -b, 1, -w, 40, -d, 60, -t, 64, -sm, PRIMARY_SYNC, -dn, MultiplicationBenchmark, -sn, IgniteNode, -ds, RELEASE-miltiplication-1-backup, --single-shot, --config, config/benchmark-atomic.properties, --logsFolder, /home/fl/SBT/IgniteMicroSvcCalc/bin/../output/logs-20180612-163003/logs_drivers, --currentFolder, /home/fl/SBT/IgniteMicroSvcCalc, --scriptsFolder, /home/fl/SBT/IgniteMicroSvcCalc/bin], probeWriter='null', customProps={ver="RELEASE-", b=1, DRIVER_HOSTS=localhost, d=60, t=64, BENCHMARK_PACKAGES=com.sbt.javaschool,org.yardstickframework,org.apache.ignite.yardstick, w=40, SERVER_HOSTS=localhost,localhost, sm=PRIMARY_SYNC, nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), JVM_OPTS=${JVM_OPTS}" -DIGNITE_QUIET=false", CONFIGS="-cfg ${SCRIPT_DIR}/../config/division-service-config.xml -nn ${nodesNum} -b ${b} -w ${w} -d ${d} -t ${t} -sm ${sm} -dn DivisionBenchmark -sn IgniteNode -ds ${ver}division-${b}-backup --single-shot ,-cfg ${SCRIPT_DIR}/../config/multiplication-service-config.xml -nn ${nodesNum} -b ${b} -w ${w} -d ${d} -t ${t} -sm ${sm} -dn MultiplicationBenchmark -sn IgniteNode -ds ${ver}miltiplication-${b}-backup --single-shot ,"}, shutdownHook=true, currentFolder=/home/fl/SBT/IgniteMicroSvcCalc, scriptsFolder=/home/fl/SBT/IgniteMicroSvcCalc/bin, logsFolder=/home/fl/SBT/IgniteMicroSvcCalc/bin/../output/logs-20180612-163003/logs_drivers, outputFolder=/home/fl/SBT/IgniteMicroSvcCalc/bin/../output/results-20180612-163003, outputWriter=java.io.PrintStream@7eba690e, errorWriter=java.io.PrintStream@707d88a9, descriptions=[RELEASE-miltiplication-1-backup], hostName=]
--Description: RELEASE-miltiplication-1-backup
@@MultiplicationBenchmark
**"Time, sec","Operations/sec (more is better)","Latency, nsec (less is better)"
1528810379,25395.00,2518486.70
1528810380,24176.00,2638916.78
1528810381,24801.00,2578268.58
1528810382,21321.00,2998892.27
1528810383,22134.00,2887417.84
1528810384,21587.00,2966258.56
1528810385,24584.00,2602161.64
1528810386,25322.00,2524172.00
1528810387,20982.00,3052741.57
1528810388,24421.00,2617212.34
1528810389,22439.00,2852376.01
1528810390,22455.00,2848788.22
1528810391,26464.00,2417573.85
1528810392,25353.00,2522808.70
1528810393,23096.00,2771195.45
1528810394,21757.00,2936887.48
1528810395,17483.00,3664197.28
1528810396,25280.00,2528793.53
1528810397,23991.00,2666736.22
1528810398,25432.00,2518055.17
1528810399,25466.00,2511891.27
1528810400,19158.00,3334034.23
1528810401,23288.00,2741923.20
1528810402,26363.00,2436018.45
1528810403,26048.00,2456445.44
1528810404,25118.00,2545839.39
1528810405,26673.00,2398488.70
1528810406,26470.00,2414422.84
1528810407,24683.00,2596051.74
1528810408,25322.00,2525716.01
1528810409,26621.00,2402843.74
1528810410,24280.00,2635516.37
1528810411,26761.00,2390571.43
1528810412,26513.00,2412666.44
1528810413,25478.00,2512350.83
1528810414,25813.00,2477761.37
1528810415,26534.00,2410097.09
1528810416,25341.00,2525279.52
1528810417,25088.00,2551230.95
1528810418,26026.00,2458570.85
1528810419,25415.00,2516281.46
1528810420,23989.00,2668452.11
1528810421,24146.00,2649425.86
1528810422,26500.00,2413778.75
1528810423,26544.00,2410035.32
1528810424,26390.00,2424685.03
1528810425,26056.00,2456434.30
1528810426,26019.00,2458267.18
1528810427,25524.00,2507377.92
1528810428,22927.00,2790160.60
1528810429,23065.00,2774014.33
1528810430,23451.00,2728153.89
1528810431,23955.00,2671932.36
1528810432,25746.00,2484252.47
1528810433,26170.00,2445098.78
1528810434,22105.00,2895092.92
1528810435,25145.00,2542470.78
1528810436,26632.00,2404195.00
1528810437,24230.00,2639762.20
1528810438,26345.00,2430215.12
