--Probe dump file for probe: org.yardstickframework.probes.ThroughputLatencyProbe@4f449e8f (class org.yardstickframework.probes.ThroughputLatencyProbe)
--Created Tue Jun 12 19:08:12 MSK 2018
--Benchmark config: BenchmarkConfiguration [memberId='0', driverNames='[AffinityGetBenchmark]', serverName='IgniteNode', threads=64, duration=60, warmup=40, dfltProbeClsNames=[ThroughputLatencyProbe, PercentileProbe], propsFileName='config/benchmark-atomic.properties', packages=[com.sbt.javaschool, org.yardstickframework, org.apache.ignite.yardstick], cmdArgs=[--outputFolder, /home/fl/SBT/affinity-example/bin/../output/results-20180612-190602, -id, 0, -cfg, /home/fl/SBT/affinity-example/bin/../config/affinity-test-config.xml, -nn, 5, -b, 1, -w, 40, -d, 60, -t, 64, -sm, PRIMARY_SYNC, -dn, AffinityGetBenchmark, -sn, IgniteNode, -ds, RELEASE-affinity-get-1-backup, --single-shot, --config, config/benchmark-atomic.properties, --logsFolder, /home/fl/SBT/affinity-example/bin/../output/logs-20180612-190602/logs_drivers, --currentFolder, /home/fl/SBT/affinity-example, --scriptsFolder, /home/fl/SBT/affinity-example/bin], probeWriter='null', customProps={ver="RELEASE-", b=1, DRIVER_HOSTS=localhost, d=60, t=64, BENCHMARK_PACKAGES=com.sbt.javaschool,org.yardstickframework,org.apache.ignite.yardstick, w=40, SERVER_HOSTS=localhost,localhost,localhost,localhost, sm=PRIMARY_SYNC, nodesNum=$((`echo ${SERVER_HOSTS} | tr ',' '' | wc -l` + `echo ${DRIVER_HOSTS} | tr ',' '' | wc -l`)), JVM_OPTS=${JVM_OPTS}" -DIGNITE_QUIET=false", CONFIGS="-cfg ${SCRIPT_DIR}/../config/affinity-test-config.xml -nn ${nodesNum} -b ${b} -w ${w} -d ${d} -t ${t} -sm ${sm} -dn GetBenchmark -sn IgniteNode -ds ${ver}get-${b}-backup --single-shot ,-cfg ${SCRIPT_DIR}/../config/affinity-test-config.xml -nn ${nodesNum} -b ${b} -w ${w} -d ${d} -t ${t} -sm ${sm} -dn AffinityGetBenchmark -sn IgniteNode -ds ${ver}affinity-get-${b}-backup --single-shot ,"}, shutdownHook=true, currentFolder=/home/fl/SBT/affinity-example, scriptsFolder=/home/fl/SBT/affinity-example/bin, logsFolder=/home/fl/SBT/affinity-example/bin/../output/logs-20180612-190602/logs_drivers, outputFolder=/home/fl/SBT/affinity-example/bin/../output/results-20180612-190602, outputWriter=java.io.PrintStream@2bf32f36, errorWriter=java.io.PrintStream@2534c438, descriptions=[RELEASE-affinity-get-1-backup], hostName=]
--Description: RELEASE-affinity-get-1-backup
@@AffinityGetBenchmark
**"Time, sec","Operations/sec (more is better)","Latency, nsec (less is better)"
1528819734,355.00,164555841.65
1528819735,326.00,194868478.87
1528819736,269.00,240024709.19
1528819737,322.00,198483213.36
1528819738,334.00,193727296.95
1528819739,359.00,180591494.73
1528819740,343.00,184508688.44
1528819741,359.00,178242527.01
1528819742,325.00,196943667.73
1528819743,352.00,182427742.95
1528819744,376.00,171270863.08
1528819745,396.00,161867970.98
1528819746,452.00,143114836.71
1528819747,437.00,143720526.38
1528819748,388.00,166878124.38
1528819749,371.00,171788372.88
1528819750,360.00,174750144.23
1528819751,362.00,177608492.90
1528819752,389.00,164907526.99
1528819753,374.00,171751714.01
1528819754,352.00,179643984.46
1528819755,337.00,188361271.61
1528819756,368.00,177142274.82
1528819757,394.00,164413708.22
1528819758,354.00,176242959.75
1528819759,404.00,162762523.63
1528819760,361.00,172992636.52
1528819761,377.00,170627962.24
1528819762,368.00,175550514.95
1528819763,360.00,177140284.46
1528819764,335.00,190735900.73
1528819765,336.00,190001632.75
1528819766,354.00,184276864.29
1528819767,387.00,163789468.54
1528819768,361.00,176752996.56
1528819769,367.00,174976976.72
1528819770,337.00,186412850.82
1528819771,352.00,183377656.32
1528819772,337.00,188070693.12
1528819773,369.00,174598488.53
1528819774,378.00,170941906.42
1528819775,396.00,163511612.98
1528819776,356.00,175340774.73
1528819777,376.00,173254619.37
1528819778,369.00,172513327.35
1528819779,373.00,170950143.40
1528819780,354.00,182055931.26
1528819781,371.00,170514816.33
1528819782,382.00,167481276.28
1528819783,375.00,172535725.29
1528819784,358.00,178475758.40
1528819785,378.00,169809140.20
1528819786,380.00,168977665.14
1528819787,398.00,160392029.31
1528819788,372.00,172884432.06
1528819789,405.00,157752925.86
1528819790,356.00,174735594.74
1528819791,340.00,191277655.80
1528819792,354.00,181851309.73
1528819793,365.00,174365411.82
